time,open,high,low,close,Volume,K,D
-3121407238,4.5,4.5,4.5,4.5,0,NaN,NaN
-3118988038,4.61,4.61,4.61,4.61,0,NaN,NaN
-3113717638,4.86,4.86,4.86,4.86,0,NaN,NaN
-3111039238,4.82,4.82,4.82,4.82,0,NaN,NaN
-3105768838,4.79,4.79,4.79,4.79,0,NaN,NaN
-3103090438,4.84,4.84,4.84,4.84,0,NaN,NaN
-3097820038,4.64,4.64,4.64,4.64,0,NaN,NaN
-3095228038,4.74,4.74,4.74,4.74,0,NaN,NaN
-3092549638,4.86,4.86,4.86,4.86,0,NaN,NaN
-3089871238,4.88,4.88,4.88,4.88,0,NaN,NaN
-3087365638,5.04,5.04,5.04,5.04,0,NaN,NaN
-3084687238,5.18,5.18,5.18,5.18,0,NaN,NaN
-3082095238,5.18,5.18,5.18,5.18,0,NaN,NaN
-3076824838,5.1,5.1,5.1,5.1,0,NaN,NaN
-3074146438,5.04,5.04,5.04,5.04,0,NaN,NaN
-3068876038,4.97,4.97,4.97,4.97,0,NaN,NaN
-3066197638,4.95,4.95,4.95,4.95,0,NaN,NaN
-3060927238,5.11,5.11,5.11,5.11,0,29.665077023126504,NaN
-3053151238,5.04,5.04,5.04,5.04,0,33.031110925850776,NaN
-3050559238,5.05,5.05,5.05,5.05,0,38.387632110020654,33.69460668633264
-3045288838,4.97,4.97,4.97,4.97,0,8.722555086894152,26.713766040921858
-3042610438,4.97,4.97,4.97,4.97,0,5.356521184169877,17.488902793694894
-3039932038,4.59,4.59,4.59,4.59,0,0,4.6930254236880105
-3037340038,4.19,4.19,4.19,4.19,0,0,1.7855070613899613
-3032069638,4.42,4.42,4.42,4.42,0,7.775707685016524,2.591902561672177
-3029391238,4.66,4.66,4.66,4.66,0,22.246378538181222,10.007362074399252
-3021615238,4.6,4.6,4.6,4.6,0,35.19203848384624,21.738041569014666
-3019023238,4.48,4.48,4.48,4.48,0,37.389592037568654,31.60933635319871
-3016344838,4.46,4.46,4.46,4.46,0,32.54113169309692,35.040920738170605
-3013752838,4.46,4.46,4.46,4.46,0,29.217682256124874,33.049468662263486
-3008396038,4.54,4.54,4.54,4.54,0,31.56495371619809,31.107922555139965
-3005804038,4.53,4.53,4.53,4.53,0,35.27803406935076,32.02022334722458
-3000533638,4.54,4.54,4.54,4.54,0,39.400121883932826,35.414369889827235
-2997855238,4.54,4.54,4.54,4.54,0,43.0464928259369,39.2415495930735
-2995176838,4.53,4.53,4.53,4.53,0,45.186464406393306,42.544359705421016
-2992757638,4.59,4.59,4.59,4.59,0,64.56878833808203,50.93391519013742
-2990079238,4.65,4.65,4.65,4.65,0,81.93521803059913,63.89682359169151
-2984808838,4.38,4.38,4.38,4.38,0,66.45995558829708,70.98798731899275
-2982216838,4.39,4.39,4.39,4.39,0,34.79458536007517,61.06325299299047
